,Unnamed: 0,Unnamed: 0.1,Type,Age,Breed1,Gender,Color1,Color2,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Fee,PhotoAmt,AdoptionSpeed
40,40,40,0,5,21,1,0,5,1,2,0,0,171,30,4,4.0
41,41,41,1,24,74,0,2,4,1,1,2,17,171,0,2,2.0
42,42,42,1,4,74,1,2,4,0,1,0,0,171,0,3,1.0
43,43,43,0,1,21,0,6,4,1,2,0,0,171,0,5,1.0
44,44,44,1,9,74,1,1,1,1,2,2,1,171,0,2,4.0
45,45,45,1,60,74,0,1,1,1,2,0,17,171,0,2,4.0
46,46,46,1,2,74,1,0,0,1,1,0,0,171,0,5,2.0
47,47,47,1,48,98,0,1,1,1,1,2,0,171,0,5,1.0
48,48,48,0,3,21,0,1,4,1,2,0,0,171,0,1,4.0
49,49,49,0,9,21,0,1,5,1,2,0,0,171,0,1,2.0
50,50,50,1,62,74,1,0,2,1,1,2,17,171,0,3,4.0
51,51,51,1,1,74,0,0,0,1,1,0,0,171,0,1,3.0
52,52,52,1,2,62,1,0,0,2,2,2,0,171,0,5,1.0
53,53,53,1,2,74,1,0,0,2,2,2,0,171,0,3,4.0
54,54,54,1,2,74,0,1,1,1,2,0,0,171,0,1,0.0
55,55,55,1,12,74,0,1,4,1,2,2,17,171,0,3,3.0
56,56,56,1,2,74,1,1,4,1,1,2,0,171,0,5,1.0
57,57,57,1,1,74,0,1,5,1,2,2,0,171,0,1,3.0
58,58,58,1,2,74,0,0,0,1,2,2,0,171,0,1,4.0
59,59,59,1,3,103,1,0,0,2,0,2,1,171,750,2,1.0
60,60,60,1,3,74,1,0,5,1,1,0,0,171,0,1,2.0
61,61,61,1,3,74,1,2,4,1,1,1,0,171,0,3,3.0
62,62,62,0,6,20,0,2,5,1,1,0,0,171,50,4,3.0
63,63,63,0,47,150,0,0,0,1,0,0,0,171,0,2,4.0
64,64,64,1,2,86,1,0,0,0,1,1,1,171,0,4,2.0
65,65,65,1,12,74,0,2,4,1,1,2,17,171,0,11,3.0
66,66,66,1,2,74,1,0,5,1,2,2,0,171,0,18,3.0
67,67,67,1,1,74,1,1,4,1,2,0,0,171,0,5,3.0
68,68,68,0,24,21,1,6,4,0,2,0,0,172,0,12,3.0
69,69,69,0,24,21,0,1,6,1,2,0,17,171,0,1,4.0
70,70,70,1,2,74,1,0,0,1,2,0,0,171,0,2,3.0
71,71,71,0,19,57,0,0,3,0,0,2,0,171,0,3,1.0
72,72,72,1,4,103,0,1,4,2,0,1,17,171,0,3,3.0
73,73,73,1,24,74,1,1,5,1,2,0,0,171,0,3,3.0
74,74,74,0,3,20,1,0,5,1,1,1,0,171,0,1,1.0
75,75,75,1,24,50,0,0,3,1,1,1,17,171,0,2,2.0
76,76,76,1,60,91,1,4,4,1,1,2,17,171,0,3,4.0
77,77,77,1,1,74,0,0,0,1,1,2,0,171,0,1,3.0
78,78,78,0,3,21,0,1,2,2,2,2,0,171,0,7,1.0
79,79,79,0,2,20,1,3,4,2,1,0,0,171,0,2,2.0
80,80,80,1,2,74,0,0,0,1,2,0,0,171,0,2,3.0
81,81,81,0,2,21,0,4,5,1,2,0,0,171,0,2,1.0
82,82,82,1,3,74,0,1,4,1,2,2,0,171,0,4,4.0
83,83,83,0,4,21,0,0,5,1,2,2,0,171,0,5,2.0
84,84,84,1,120,74,1,0,0,0,2,1,1,171,0,3,4.0
85,85,85,1,3,74,0,1,4,1,2,0,0,171,0,4,4.0
86,86,86,1,36,43,0,1,2,0,1,2,0,171,0,4,1.0
87,87,87,0,3,21,0,0,0,2,2,0,0,171,0,3,4.0
88,88,88,0,60,57,1,3,4,1,1,2,0,171,0,0,4.0
89,89,89,0,1,21,0,1,1,1,2,0,1,171,0,4,1.0
90,90,90,1,36,86,1,0,1,0,2,2,17,171,0,4,2.0
91,91,91,1,12,102,1,0,3,1,1,2,0,171,400,1,2.0
92,92,92,0,1,20,1,0,5,2,1,0,0,171,0,1,2.0
93,93,93,1,5,8,1,2,5,1,2,2,17,171,0,6,3.0
94,94,94,1,24,40,0,0,0,1,1,1,1,171,0,3,3.0
95,95,95,1,3,74,1,1,4,1,1,2,0,171,0,3,1.0
96,96,96,1,4,74,0,0,4,1,2,0,0,171,0,5,4.0
97,97,97,0,8,99,1,1,1,1,2,2,0,171,50,8,2.0
98,98,98,0,12,20,1,0,4,1,1,0,0,171,0,1,3.0
99,99,99,1,4,74,0,0,0,1,1,2,17,171,0,10,3.0
100,100,100,1,2,74,1,0,0,1,2,0,0,171,0,3,2.0
101,101,101,0,7,161,0,0,6,1,2,2,0,171,0,7,2.0
102,102,102,0,5,19,1,6,4,1,0,0,0,171,100,5,3.0
103,103,103,1,60,27,0,0,5,1,2,2,17,171,0,2,3.0
104,104,104,1,12,74,0,1,4,1,2,2,17,171,0,2,2.0
105,105,105,0,17,21,0,0,0,2,2,1,17,171,0,3,3.0
106,106,106,1,48,74,1,0,0,1,1,2,17,171,0,2,2.0
107,107,107,1,4,74,0,0,5,1,2,2,0,171,0,2,3.0
108,108,108,0,12,126,0,3,1,1,1,1,17,171,0,2,3.0
109,109,109,0,12,57,1,0,5,0,0,0,0,171,0,2,1.0
110,110,110,0,3,21,0,4,5,1,2,2,0,171,0,3,2.0
111,111,111,1,36,18,0,0,0,0,1,1,1,172,0,4,3.0
112,112,112,1,12,74,0,2,5,1,2,1,1,171,0,1,4.0
113,113,113,1,2,74,0,0,0,1,1,2,0,171,80,1,4.0
114,114,114,1,36,18,1,0,4,1,2,2,17,171,0,1,2.0
115,115,115,0,1,2,0,6,5,2,2,0,0,171,0,3,1.0
116,116,116,1,2,74,0,1,4,1,2,2,0,171,0,4,1.0
117,117,117,1,2,74,0,0,0,1,1,2,0,171,0,4,3.0
118,118,118,1,1,74,0,1,1,0,2,1,1,171,0,2,2.0
119,119,119,0,2,21,0,0,1,1,2,0,0,171,0,3,2.0
120,120,120,0,2,99,1,1,1,2,2,0,0,171,0,1,0.0
121,121,121,1,2,74,0,0,0,1,2,2,0,171,80,9,2.0
122,122,122,0,3,21,1,6,4,1,2,1,0,171,0,3,4.0
123,123,123,1,17,74,1,0,4,1,1,2,17,171,150,1,4.0
124,124,124,0,48,116,1,0,0,0,2,2,0,171,20,4,2.0
125,125,125,0,1,21,1,0,0,1,2,0,0,171,0,1,2.0
126,126,126,0,5,21,0,0,5,1,1,0,0,171,150,4,2.0
127,127,127,1,8,74,1,0,0,1,2,1,17,171,0,3,2.0
128,128,128,1,4,74,0,5,4,2,2,2,17,171,0,2,4.0
129,129,129,1,3,74,1,0,5,1,2,2,0,171,0,3,3.0
130,130,130,0,72,21,1,0,5,1,2,2,17,171,0,10,4.0
131,131,131,1,12,74,0,0,0,1,1,0,0,171,0,2,4.0
132,132,132,1,22,131,1,1,1,1,2,2,0,171,0,0,3.0
133,133,133,1,36,74,1,3,4,1,1,1,0,171,0,3,4.0
134,134,134,1,2,74,1,2,4,1,1,1,0,171,0,1,3.0
135,135,135,1,12,74,0,5,4,1,1,2,0,171,0,5,2.0
136,136,136,1,7,74,1,0,5,2,2,0,0,171,50,1,4.0
137,137,137,1,2,74,1,0,0,1,2,0,0,171,0,4,1.0
138,138,138,1,24,74,0,1,5,1,2,2,17,171,0,24,4.0
139,139,139,1,1,74,0,1,4,1,0,0,0,171,0,3,1.0
140,140,140,1,1,74,0,1,4,1,2,0,0,171,0,1,2.0
141,141,141,0,5,21,1,0,5,2,2,2,1,171,0,4,4.0
142,142,142,1,16,98,0,2,5,2,2,2,1,171,0,3,1.0
143,143,143,0,2,21,1,3,1,1,2,2,0,171,0,5,2.0
144,144,144,0,2,20,1,2,4,2,1,1,1,171,0,6,4.0
145,145,145,1,7,98,1,1,4,1,2,2,1,171,0,8,1.0
146,146,146,0,13,21,0,1,2,1,2,0,0,171,0,5,4.0
147,147,147,1,3,74,1,0,5,1,2,2,17,171,0,3,3.0
148,148,148,1,12,74,1,0,0,1,2,2,0,171,0,1,4.0
149,149,149,0,3,21,1,0,5,2,2,2,0,171,0,9,2.0
150,150,150,1,2,74,0,0,0,1,1,0,0,171,0,1,4.0
151,151,151,0,10,21,0,6,4,1,2,2,17,171,0,8,3.0
152,152,152,1,2,74,0,6,1,1,2,0,0,171,0,5,1.0
153,153,153,1,2,74,1,0,0,1,2,0,0,171,0,2,3.0
154,154,154,0,4,21,0,0,0,0,2,0,0,171,0,8,1.0
155,155,155,1,60,43,1,1,6,1,1,2,17,171,0,5,3.0
156,156,156,0,12,21,0,1,2,1,2,2,17,171,0,2,4.0
157,157,157,0,2,21,0,0,6,2,2,0,0,171,0,5,1.0
158,158,158,0,6,21,0,3,5,1,2,0,17,171,0,5,4.0
159,159,159,1,3,74,0,0,0,0,2,1,0,171,0,2,2.0
160,160,160,1,1,74,0,0,4,1,1,0,0,171,0,4,1.0
161,161,161,0,3,20,1,6,5,1,1,0,0,171,50,3,1.0
162,162,162,1,19,74,0,0,4,1,2,2,17,171,80,3,4.0
163,163,163,0,11,21,0,0,6,1,2,2,17,171,50,5,4.0
164,164,164,1,37,74,0,1,2,1,2,2,17,171,0,5,4.0
165,165,165,0,4,81,0,0,5,2,0,0,1,171,250,3,2.0
166,166,166,1,3,74,1,2,4,1,2,0,17,171,0,6,1.0
167,167,167,1,6,74,1,0,0,1,2,2,17,171,0,1,3.0
168,168,168,0,1,21,0,3,1,1,2,0,0,171,0,7,2.0
169,169,169,1,5,74,1,0,0,1,2,1,1,171,0,0,4.0
170,170,170,0,7,21,1,0,5,1,2,0,0,171,0,2,2.0
171,171,171,1,4,74,0,0,0,1,1,0,0,171,1,1,4.0
172,172,172,0,1,21,0,0,0,1,2,0,0,171,0,0,4.0
173,173,173,1,48,74,0,1,4,1,2,2,17,171,0,1,3.0
174,174,174,1,3,7,0,1,4,2,2,0,0,171,0,3,1.0
175,175,175,1,2,74,1,0,0,1,1,2,0,171,0,1,1.0
176,176,176,0,4,21,1,6,5,2,2,2,1,171,0,5,1.0
177,177,177,1,22,98,0,2,5,1,2,2,0,171,0,3,1.0
178,178,178,1,60,77,0,1,4,2,0,2,17,171,0,3,1.0
179,179,179,1,3,147,1,0,4,1,2,1,0,171,0,2,2.0
180,180,180,0,4,20,0,2,4,1,1,1,1,171,0,4,2.0
181,181,181,0,13,57,0,0,3,1,1,2,0,171,0,3,1.0
182,182,182,0,1,21,1,0,5,2,2,1,1,171,0,1,3.0
183,183,183,1,5,62,0,0,4,1,1,2,0,171,0,8,1.0
184,184,184,1,2,74,0,0,5,1,1,0,0,171,0,12,3.0
185,185,185,1,2,55,0,1,5,1,2,2,0,171,0,9,2.0
186,186,186,1,36,74,0,1,4,1,2,2,17,171,0,1,3.0
187,187,187,1,2,74,0,0,0,1,2,2,0,171,0,4,4.0
188,188,188,1,2,74,0,0,0,1,1,0,0,171,0,4,2.0
189,189,189,0,2,21,0,0,5,1,2,0,0,171,0,3,1.0
190,190,190,0,8,116,1,3,4,1,2,2,17,171,0,2,2.0
191,191,191,0,2,20,0,0,3,1,1,2,0,171,0,4,3.0
192,192,192,0,9,116,0,1,1,2,2,2,17,171,0,3,2.0
193,193,193,0,6,21,0,4,4,1,2,1,1,171,0,4,2.0
194,194,194,1,18,131,0,1,5,1,2,2,17,171,0,10,0.0
195,195,195,1,14,74,1,1,4,0,1,2,17,171,0,3,0.0
196,196,196,0,2,21,1,5,4,1,2,0,0,171,0,2,1.0
197,197,197,0,12,145,1,0,3,1,1,2,17,171,0,1,4.0
198,198,198,0,12,21,0,0,0,1,2,0,17,171,0,1,4.0
199,199,199,1,1,8,0,0,1,1,2,0,0,171,0,5,1.0
200,200,200,1,2,74,0,0,0,1,1,2,0,171,0,2,3.0
201,201,201,1,3,74,0,1,4,1,2,1,1,171,0,2,1.0
202,202,202,1,3,74,1,2,5,1,1,0,0,171,0,4,1.0
203,203,203,0,6,21,0,6,4,2,2,2,17,171,200,6,4.0
204,204,204,0,3,99,1,0,5,2,2,0,0,171,0,1,2.0
205,205,205,1,3,74,1,1,4,0,2,0,1,171,0,3,2.0
206,206,206,1,24,74,0,1,4,1,2,2,17,172,20,2,4.0
207,207,207,1,1,74,1,1,5,1,1,0,0,171,0,1,1.0
208,208,208,1,2,74,0,0,0,1,1,0,0,171,250,13,3.0
209,209,209,1,2,74,1,3,4,1,1,2,0,171,0,1,2.0
210,210,210,1,7,74,0,1,4,1,2,2,0,171,0,1,3.0
211,211,211,0,3,19,1,0,2,2,0,0,0,171,150,3,1.0
212,212,212,1,1,74,0,1,4,1,2,0,0,171,0,2,3.0
213,213,213,1,1,74,0,0,0,1,2,2,0,171,0,9,2.0
214,214,214,1,55,131,1,0,6,1,2,2,17,171,0,5,2.0
215,215,215,1,2,93,0,0,0,1,2,2,0,171,0,3,2.0
216,216,216,1,3,74,0,0,0,1,1,2,17,171,0,3,3.0
217,217,217,1,36,112,0,3,1,1,1,1,17,171,0,9,3.0
218,218,218,0,1,20,0,0,6,1,0,0,0,171,0,10,2.0
219,219,219,0,6,99,0,1,1,1,1,0,0,171,0,3,4.0
220,220,220,0,6,20,0,1,1,1,1,0,0,171,0,3,1.0
221,221,221,0,4,145,1,1,4,1,1,0,0,172,0,4,1.0
222,222,222,1,2,74,0,1,5,1,1,2,0,171,0,3,1.0
223,223,223,1,5,74,0,0,0,1,2,2,0,171,0,1,2.0
224,224,224,0,20,20,1,0,3,0,1,0,0,171,0,4,1.0
225,225,225,1,2,74,0,1,5,1,2,2,0,171,0,6,3.0
226,226,226,1,7,74,1,1,5,1,1,2,1,171,0,1,1.0
227,227,227,0,1,21,1,0,5,1,2,0,0,171,0,6,1.0
228,228,228,1,1,74,0,0,4,1,2,0,0,171,0,1,3.0
229,229,229,0,28,146,1,0,4,0,0,2,0,171,0,5,2.0
230,230,230,1,24,143,0,0,0,1,1,2,17,171,250,9,4.0
231,231,231,1,12,74,1,1,2,1,1,2,17,171,0,0,4.0
232,232,232,0,4,21,1,0,0,1,2,0,0,171,0,4,4.0
233,233,233,1,2,74,0,0,2,1,1,2,0,171,0,4,2.0
234,234,234,0,2,20,1,6,4,2,2,2,0,171,0,5,1.0
235,235,235,1,1,74,0,0,0,2,2,0,0,171,0,1,4.0
236,236,236,1,5,131,0,0,0,1,2,1,1,171,300,1,1.0
237,237,237,0,22,20,0,0,4,1,1,2,17,171,0,7,4.0
238,238,238,0,36,21,0,0,0,1,1,2,17,171,0,4,4.0
239,239,239,1,36,112,0,5,4,1,1,2,17,171,0,2,2.0
240,240,240,1,8,74,1,6,4,1,2,2,0,171,0,2,4.0
241,241,241,1,10,74,0,5,4,1,2,0,17,171,0,2,4.0
242,242,242,1,2,74,0,1,6,1,2,0,0,171,0,4,4.0
243,243,243,0,2,20,1,0,5,2,1,0,0,171,0,4,4.0
244,244,244,1,3,74,1,0,4,1,2,1,1,171,0,2,4.0
245,245,245,1,3,74,0,0,5,1,2,0,0,171,0,2,3.0
246,246,246,1,60,98,0,0,5,2,1,1,17,171,0,1,3.0
247,247,247,1,2,74,1,1,4,1,2,2,0,171,0,1,2.0
248,248,248,0,12,20,1,1,5,1,1,2,17,171,0,2,1.0
249,249,249,1,1,74,0,0,0,1,1,0,0,171,0,1,3.0
250,250,250,1,1,74,0,5,4,1,1,0,0,171,0,1,3.0
251,251,251,1,24,74,0,5,4,0,2,1,17,172,0,2,4.0
252,252,252,1,3,74,0,1,4,1,2,2,17,171,200,6,4.0
253,253,253,1,2,74,1,0,0,1,2,0,0,171,0,7,3.0
254,254,254,0,12,20,1,0,4,2,1,1,1,171,0,1,4.0
255,255,255,1,12,74,0,1,4,1,1,0,0,171,0,1,4.0
256,256,256,1,1,74,1,1,4,1,2,2,0,171,0,1,3.0
257,257,257,0,11,21,0,0,6,1,2,2,17,171,0,11,2.0
258,258,258,1,74,98,1,1,5,1,1,1,1,171,0,2,2.0
259,259,259,1,36,117,0,1,2,1,0,2,17,171,0,3,3.0
260,260,260,1,3,74,0,1,5,1,1,0,0,171,0,3,3.0
261,261,261,1,2,74,0,0,0,1,2,2,0,171,0,6,3.0
262,262,262,1,3,74,0,0,0,1,1,2,0,171,0,4,3.0
263,263,263,1,48,77,1,5,4,2,2,2,0,171,0,1,1.0
264,264,264,1,2,74,0,0,0,1,2,2,17,171,0,8,3.0
265,265,265,1,36,77,1,1,4,2,1,1,0,171,0,3,2.0
266,266,266,0,3,19,1,0,5,1,0,0,0,171,0,5,2.0
267,267,267,0,4,21,0,0,3,2,2,0,0,171,0,3,1.0
268,268,268,1,1,62,1,0,0,1,2,0,0,171,0,5,3.0
269,269,269,1,60,91,1,0,5,1,2,2,17,171,0,1,2.0
270,270,270,1,2,74,0,0,4,1,1,2,0,171,0,1,2.0
271,271,271,1,4,74,0,0,0,1,1,2,0,171,0,4,4.0
272,272,272,0,2,21,0,0,6,1,2,0,0,171,0,1,1.0
273,273,273,1,3,74,0,3,4,1,2,2,17,171,0,7,4.0
274,274,274,1,2,74,0,0,0,1,1,0,0,171,0,1,2.0
275,275,275,0,1,20,0,5,4,2,1,0,0,171,0,10,1.0
276,276,276,1,18,74,0,0,4,1,2,2,17,171,0,3,4.0
277,277,277,0,3,21,1,3,4,1,2,2,0,171,20,0,2.0
278,278,278,0,6,20,1,4,5,1,1,2,17,171,120,5,2.0
279,279,279,1,2,74,1,0,0,1,2,2,0,171,0,14,2.0
280,280,280,1,24,74,0,1,4,1,2,1,1,171,0,6,3.0
281,281,281,0,6,21,1,0,5,1,2,1,1,171,0,3,4.0
282,282,282,1,2,74,0,1,4,1,1,0,0,171,0,4,2.0
283,283,283,1,48,98,1,0,4,2,1,2,0,171,0,0,1.0
284,284,284,1,2,74,1,1,4,1,2,0,0,171,1,3,1.0
285,285,285,0,3,21,0,4,5,1,2,0,0,171,0,3,2.0
286,286,286,1,53,74,1,5,4,1,1,2,1,171,0,1,4.0
287,287,287,0,1,15,1,0,5,2,2,0,0,171,0,1,4.0
288,288,288,0,7,19,1,0,5,1,1,2,17,171,0,15,4.0
289,289,289,0,4,21,0,0,4,2,2,0,0,171,0,3,2.0
290,290,290,1,1,74,1,1,4,1,1,0,0,171,0,1,2.0
291,291,291,0,1,21,1,0,5,1,2,0,0,171,0,4,2.0
292,292,292,1,48,74,1,1,4,1,2,1,1,171,0,1,4.0
293,293,293,0,2,145,0,4,5,2,2,0,0,171,0,5,1.0
294,294,294,1,1,18,1,0,0,1,2,1,0,171,0,7,2.0
295,295,295,0,3,21,0,2,3,1,2,2,17,171,100,1,4.0
296,296,296,1,7,141,0,1,4,0,1,2,0,171,0,1,1.0
297,297,297,1,3,74,1,0,5,1,2,2,0,171,0,1,4.0
298,298,298,1,1,74,0,0,0,1,2,2,0,171,0,6,2.0
299,299,299,0,3,21,0,5,4,2,2,0,0,171,0,3,3.0
300,300,300,0,3,21,0,0,0,1,2,0,0,171,0,3,2.0
301,301,301,1,12,74,1,0,4,1,1,1,17,171,150,3,4.0
302,302,302,1,2,0,0,1,4,1,2,2,0,171,0,3,3.0
303,303,303,1,3,56,0,0,5,2,1,1,0,171,0,1,4.0
304,304,304,1,25,91,1,4,5,1,0,2,0,171,100,2,1.0
305,305,305,0,14,21,0,1,4,1,2,1,1,171,0,2,1.0
306,306,306,1,1,74,0,1,4,1,1,2,0,171,0,1,3.0
307,307,307,0,1,21,0,1,3,2,2,1,0,171,30,1,4.0
308,308,308,1,10,62,0,0,5,1,1,2,0,171,0,2,1.0
309,309,309,1,1,74,0,0,2,1,1,0,0,171,0,5,1.0
310,310,310,0,12,20,0,0,5,1,1,2,17,171,150,1,1.0
311,311,311,1,84,43,1,1,1,1,1,2,17,172,0,1,4.0
312,312,312,0,3,21,1,3,5,1,2,0,0,171,0,1,1.0
313,313,313,1,6,74,0,0,4,1,1,0,0,171,0,4,4.0
314,314,314,1,8,74,1,1,4,1,2,2,0,171,0,10,2.0
315,315,315,0,1,21,0,0,0,1,2,0,0,171,0,3,0.0
316,316,316,0,18,20,0,2,5,1,2,0,0,171,0,3,0.0
317,317,317,0,2,21,0,0,5,2,2,0,0,171,0,2,4.0
318,318,318,0,36,21,0,0,3,1,1,0,17,171,0,4,4.0
319,319,319,1,2,74,0,1,5,1,1,1,0,171,0,2,3.0
320,320,320,0,2,21,1,1,4,2,2,0,0,171,0,2,3.0
321,321,321,1,1,74,0,0,0,0,2,0,0,171,50,9,1.0
322,322,322,0,18,21,1,6,4,1,2,2,17,171,0,1,4.0
323,323,323,1,4,94,1,0,0,0,1,0,0,171,0,12,2.0
324,324,324,1,2,74,1,0,0,1,2,0,0,171,0,1,2.0
325,325,325,1,2,74,0,0,5,1,1,0,0,171,0,4,3.0
326,326,326,1,1,74,1,0,0,1,1,0,0,171,0,1,3.0
327,327,327,1,2,74,1,0,0,1,2,2,0,171,0,4,3.0
328,328,328,1,8,74,1,1,5,1,2,0,0,171,0,1,2.0
329,329,329,0,3,116,1,3,4,2,2,1,1,171,0,1,4.0
330,330,330,0,3,21,1,2,4,1,2,2,0,171,0,3,1.0
331,331,331,0,3,19,1,0,4,1,0,2,0,171,100,2,2.0
332,332,332,0,12,21,0,1,4,2,2,0,0,171,0,5,2.0
333,333,333,1,72,40,0,0,0,0,0,2,0,171,0,4,1.0
334,334,334,0,3,116,0,0,0,2,2,2,0,171,0,4,4.0
335,335,335,1,2,74,0,1,4,1,1,2,0,171,0,1,3.0
336,336,336,1,2,74,1,0,0,1,2,1,0,171,0,1,1.0
337,337,337,1,4,74,0,1,5,1,1,1,1,171,0,3,4.0
338,338,338,1,3,74,1,1,4,1,2,2,17,171,0,2,1.0
339,339,339,1,4,74,1,0,0,1,2,0,0,171,0,2,1.0
340,340,340,0,3,21,0,0,4,2,2,1,1,171,0,3,4.0
341,341,341,0,4,21,1,0,4,1,2,2,17,172,0,5,3.0
342,342,342,0,12,116,1,3,1,1,2,0,17,171,100,10,2.0
343,343,343,1,36,117,1,0,5,1,1,2,17,171,0,2,1.0
344,344,344,0,2,57,0,0,0,1,0,0,0,171,100,5,1.0
345,345,345,1,4,74,0,5,4,1,2,2,0,171,0,1,1.0
346,346,346,1,5,10,1,0,5,2,1,2,0,171,0,10,1.0
347,347,347,0,12,20,0,0,4,1,1,0,0,171,0,2,3.0
348,348,348,0,5,21,1,0,0,1,2,1,1,171,0,1,1.0
349,349,349,1,2,74,0,0,0,1,2,0,0,171,0,4,1.0
350,350,350,1,48,68,0,1,4,1,2,0,0,171,0,4,4.0
351,351,351,1,5,74,0,1,4,1,1,2,0,171,0,3,4.0
352,352,352,1,5,74,0,1,4,2,2,1,1,171,0,3,4.0
353,353,353,0,4,21,0,1,5,2,2,1,0,171,0,7,2.0
354,354,354,1,3,74,0,1,4,1,1,0,0,171,0,5,4.0
355,355,355,0,4,21,1,0,3,2,2,0,0,171,0,5,2.0
356,356,356,0,5,20,1,0,4,1,1,1,1,171,0,1,1.0
357,357,357,0,3,21,1,6,4,2,2,2,0,171,0,6,2.0
358,358,358,0,2,21,0,0,5,1,2,0,0,171,0,4,2.0
359,359,359,1,4,74,0,1,4,1,2,2,0,171,0,3,3.0
360,360,360,1,12,74,0,1,6,1,2,2,17,171,0,2,2.0
361,361,361,0,4,13,0,1,6,2,2,0,0,172,0,1,2.0
362,362,362,1,5,74,1,5,4,1,2,2,17,171,0,0,4.0
363,363,363,1,2,74,0,0,0,1,2,2,0,171,0,1,4.0
364,364,364,1,2,93,0,1,4,1,2,1,0,171,0,4,3.0
365,365,365,1,3,91,1,4,5,2,1,2,0,171,0,5,1.0
366,366,366,0,17,21,0,0,0,1,2,2,0,171,0,5,4.0
367,367,367,1,8,77,0,1,4,2,2,2,1,171,0,1,0.0
368,368,368,0,5,21,1,0,0,1,1,0,0,171,0,1,1.0
369,369,369,1,12,50,1,0,0,1,1,2,17,171,150,5,3.0
370,370,370,1,5,74,0,0,4,1,2,2,17,171,100,5,4.0
371,371,371,1,2,74,0,0,4,1,2,0,0,171,0,3,3.0
372,372,372,1,24,74,0,0,4,2,2,1,1,172,0,1,2.0
373,373,373,1,5,74,1,0,0,1,2,2,0,171,0,4,1.0
374,374,374,1,2,74,1,0,4,1,1,1,1,171,0,1,4.0
375,375,375,1,2,74,0,1,5,1,1,2,0,171,0,5,1.0
376,376,376,1,36,91,0,4,5,1,1,2,0,171,0,1,1.0
377,377,377,1,24,74,0,6,4,0,0,0,0,171,0,2,4.0
378,378,378,0,9,19,1,0,5,1,0,0,0,172,0,2,4.0
379,379,379,1,3,74,0,1,4,1,1,2,17,171,0,12,4.0
380,380,380,0,10,21,0,0,0,2,2,2,17,171,0,23,3.0
381,381,381,1,12,77,1,4,4,1,2,2,17,171,0,7,2.0
382,382,382,1,48,55,0,2,4,2,2,2,17,171,0,1,2.0
